Year,Afghanistan,Armenia,Azerbaijan,Bahrain,Bangladesh,Bhutan,Brunei Darussalam,Cambodia,China,Georgia,"Hong Kong SAR, China",India,Indonesia,"Iran, Islamic Rep.",Iraq,Israel,Japan,Jordan,Kazakhstan,"Korea, Dem. Rep.","Korea, Rep.",Kuwait,Kyrgyz Republic,Lao PDR,Lebanon,"Macao SAR, China",Malaysia,Maldives,Mongolia,Myanmar,Nepal,Oman,Pakistan,Philippines,Qatar,Saudi Arabia,Singapore,Sri Lanka,Syrian Arab Republic,Tajikistan,Thailand,Turkey,Turkmenistan,United Arab Emirates,Uzbekistan,Vietnam,"Yemen, Rep."
2001,11.878,8.431,5.6,2.751,6.731,8.389,2.904,8.983,6.43,10.078,5,8.553,7.281,5.102,5.092,5.8,7.7,4.084,10,8.926,5,3.146,6.5,9.441,5.366,4.875,4.395,4.466,7.501,8.983,8.226,3.417,8.572,6.147,2.051,3.628,4.4,6.706,3.598,7.531,6.935,6.265,7.686,1.837,5.309233446,5.383,8.925
2002,11.594,8.403,5.7,2.684,6.559,8.019,2.872,8.553,6.41,10.147,5,8.433,7.303,5.098,5.141,5.8,8.1,4.024,11.8,8.739,5.1,3.149,8.4,9.138,5.215,4.867,4.4,4.247,7.341,8.912,7.963,3.324,8.439,6.125,2.01,3.577,4.5,6.49,3.534,7.257,6.982,6.153,7.695,1.778,5.422163408,5.383,8.715
2003,11.302,8.39,6,2.616,6.404,7.68,2.865,8.153,6.4,10.243,5.4,8.32,7.315,5.108,5.216,5.8,8.4,3.97,10.41,8.608,5.1,3.146,7.1,8.858,5.064,4.854,4.421,4.053,7.209,8.844,7.73,3.24,8.328,6.105,1.961,3.537,4.5,6.362,3.474,6.997,7.017,6.059,7.71,1.72,5.316598549,5.395,8.523
2004,11.003,8.396,6,2.551,6.262,7.379,2.88,7.792,6.42,10.366,5.4,8.213,7.313,5.124,5.308,5.6,8.050859795,3.921,10.14,8.56,5,3.137,6.9,8.6,4.918,4.835,4.454,3.885,7.104,8.778,7.524,3.165,8.238,6.089,1.904,3.508,4.4,6.336,3.421,6.754,7.045,5.983,7.724,1.663,5.040019316,5.415,8.349
2005,10.696,8.421,6.2,2.489,6.132,7.118,2.911,7.479,6.51,10.51,5.7,8.109,7.298,5.138,5.403,5.6,8.530753759,3.878,10.37,8.598,5,3.123,7.2,8.363,4.782,4.813,4.498,3.749,7.016,8.711,7.343,3.096,8.162,6.086,1.842,3.486,4.4,6.404,3.384,6.534,7.072,5.923,7.734,1.61,5.372602715,5.442,8.187
2006,10.386,8.462,6.2,2.434,6.014,6.9,2.947,7.216,6.81,10.668,5.5,8.005,7.272,5.137,5.483,5.5,8.53,3.839,10.27,8.703,5,3.104,7.4,8.143,4.663,4.789,4.547,3.651,6.931,8.641,7.184,3.033,8.093,6.103,1.776,3.469,4.4,6.537,3.375,6.342,7.106,5.875,7.74,1.563,5.271090805,5.473,8.034
2007,10.075,8.517,6.3,2.387,5.907,6.721,2.978,6.996,6.93,10.828,5.7,7.901,7.242,5.116,5.534,5.6,8.71,3.804,10.22,8.829,5,3.08,7.2,7.939,4.565,4.769,4.597,3.594,6.839,8.57,7.044,2.974,8.024,6.145,1.712,3.453,4.5,6.69,3.397,6.178,7.153,5.837,7.744,1.524,5.11500451,5.507,7.883
2008,9.771,8.582,6,2.349,5.813,6.578,2.996,6.81,7.06,10.982,6,7.8,7.215,5.072,5.547,5.4,9.1,3.773,9.74,8.941,5,3.05,7.1,7.747,4.49,4.756,4.644,3.575,6.733,8.498,6.917,2.92,7.947,6.212,1.651,3.439,4.4,6.822,3.452,6.039,7.218,5.805,7.748,1.497,5.083453285,5.541,7.731
2009,9.475,8.655,5.9,2.321,5.728,6.465,3.001,6.655,7.08,11.122,5.9,7.7,7.194,5.008,5.52,5.2,9.1,3.746,9.8,9.029,5,3.018,6.7,7.564,4.441,4.751,4.689,3.588,6.613,8.429,6.803,2.871,7.862,6.3,1.598,3.425,4.3,6.923,3.535,5.925,7.303,5.776,7.752,1.481,4.8,5.576,7.578
2010,9.193,8.738,5.9,2.305,5.652,6.381,2.994,6.525,7.11,11.247,6,7.606,7.178,4.927,5.456,5.2,9.5,3.724,8.97,9.09,5.1,2.983,6.6,7.39,4.414,4.754,4.73,3.624,6.485,8.366,6.699,2.824,7.77,6.402,1.554,3.411,4.4,6.986,3.635,5.833,7.405,5.751,7.755,1.479,4.9,5.61,7.426
2011,8.927,8.834,5.9,2.3,5.582,6.319,2.982,6.412,7.14,11.355,6,7.52,7.168,4.838,5.367,5.3,9.9,3.706,8.75,9.129,5.1,2.949,6.5,7.223,4.407,4.762,4.771,3.668,6.36,8.313,6.605,2.782,7.673,6.506,1.52,3.399,4.5,7.017,3.737,5.76,7.522,5.729,7.759,1.49,4.9,5.643,7.28
2012,8.677,8.943,5.9,2.304,5.517,6.277,2.973,6.312,7.15,11.452,6.1,7.446,7.162,4.755,5.268,5.3,10,3.696,8.51,9.161,5.3,2.916,6.5,7.064,4.414,4.774,4.815,3.711,6.251,8.275,6.523,2.744,7.578,6.6,1.497,3.392,4.5,7.037,3.828,5.701,7.647,5.713,7.763,1.513,4.9,5.676,7.145
2013,8.445,9.063,5.8,2.317,5.457,6.248,2.975,6.218,7.2,11.539,6,7.385,7.16,4.686,5.172,5.1,10.1,3.691,7.98,9.196,5.3,2.885,6.1,6.912,4.429,4.787,4.865,3.743,6.168,8.253,6.452,2.711,7.49,6.678,1.484,3.392,4.6,7.061,3.896,5.652,7.774,5.702,7.769,1.546,4.8,5.711,7.024
